Date,Value (P)
9/1/2020 0:00,666692.91
9/2/2020 0:00,674756.57
9/3/2020 0:00,650876.83
9/4/2020 0:00,645003.63
9/7/2020 0:00,645003.63
9/8/2020 0:00,627340.64
9/9/2020 0:00,639307.5791
9/10/2020 0:00,629005.47
9/11/2020 0:00,625795.47
9/14/2020 0:00,635513.7395
9/15/2020 0:00,639649.21
9/16/2020 0:00,636948.995
9/17/2020 0:00,631486.63
9/18/2020 0:00,624945.64
9/21/2020 0:00,618277.76
9/22/2020 0:00,624146.82
9/23/2020 0:00,609759.35
9/24/2020 0:00,613295.58
9/25/2020 0:00,623722.25
9/28/2020 0:00,634462.34
9/29/2020 0:00,631703.9382
9/30/2020 0:00,635796.29
10/1/2020 0:00,641013.92
10/2/2020 0:00,635859.17
10/5/2020 0:00,647396.89
10/6/2020 0:00,639643.31
10/7/2020 0:00,650179.6005
10/8/2020 0:00,655501.71
10/9/2020 0:00,660838.29
10/12/2020 0:00,670779.1505
10/13/2020 0:00,667010.02
10/14/2020 0:00,663098.69
10/15/2020 0:00,662852.06
10/16/2020 0:00,662220.1605
10/19/2020 0:00,652769.25
10/20/2020 0:00,655251.14
10/21/2020 0:00,653979.59
10/22/2020 0:00,657710.11
10/23/2020 0:00,660483.63
10/26/2020 0:00,648042.5684
10/27/2020 0:00,640059.93
10/28/2020 0:00,618807.29
10/29/2020 0:00,625086.77
10/30/2020 0:00,617141.4502
11/2/2020 0:00,624267.1
11/3/2020 0:00,635806.76
11/4/2020 0:00,650262.78
11/5/2020 0:00,664113.4495
11/6/2020 0:00,664172.7908
11/9/2020 0:00,670916.97
11/10/2020 0:00,669928.27
11/11/2020 0:00,675286.4905
11/12/2020 0:00,669186.4
11/13/2020 0:00,678515.3605
11/16/2020 0:00,686720.14
11/17/2020 0:00,685049.97
11/18/2020 0:00,677715.83
11/19/2020 0:00,681930.4
11/20/2020 0:00,678640.3095
11/23/2020 0:00,682549.24
11/24/2020 0:00,692450.3795
11/25/2020 0:00,692061.0105
11/26/2020 0:00,692061.0105
11/27/2020 0:00,695272.5894
11/30/2020 0:00,692230.8105
12/1/2020 0:00,699398.1505
12/2/2020 0:00,700371.13
12/3/2020 0:00,701459.19
12/4/2020 0:00,709022.72
12/7/2020 0:00,709021.1
12/8/2020 0:00,711966.765
12/9/2020 0:00,705622.83
12/10/2020 0:00,706892.42
12/11/2020 0:00,705793.98
12/14/2020 0:00,704103.95
12/15/2020 0:00,714336.64
12/16/2020 0:00,715264.42
12/17/2020 0:00,718107.6087
12/18/2020 0:00,715954.0395
12/21/2020 0:00,715202.74
12/22/2020 0:00,716031.46
12/23/2020 0:00,716930.99
12/24/2020 0:00,719097.5532
12/25/2020 0:00,719097.5532
12/28/2020 0:00,722860.06
12/29/2020 0:00,720471.56
12/30/2020 0:00,721791.19
12/31/2020 0:00,724954.88
1/1/2021 0:00,724954.88
1/4/2021 0:00,714353.68
1/5/2021 0:00,719748.11
1/6/2021 0:00,725139.28
1/7/2021 0:00,736772.06
1/8/2021 0:00,739915.3095
1/11/2021 0:00,735944.45
1/12/2021 0:00,737338.91
1/13/2021 0:00,737847.65
1/14/2021 0:00,736885.58
1/15/2021 0:00,731176.18
1/18/2021 0:00,731176.18
1/19/2021 0:00,737409.44
1/20/2021 0:00,747129.39
1/21/2021 0:00,747616.8305
1/22/2021 0:00,746841.9405
1/25/2021 0:00,749795.5595
1/26/2021 0:00,748398.42
1/27/2021 0:00,730456.17
1/28/2021 0:00,735733
1/29/2021 0:00,722704.4
2/1/2021 0:00,734451.2
2/2/2021 0:00,744624.52
2/3/2021 0:00,745236.76
2/4/2021 0:00,754112.59
2/5/2021 0:00,757961.08
2/8/2021 0:00,765073.48
2/9/2021 0:00,765592.81
2/10/2021 0:00,765352.53
2/11/2021 0:00,768007.85
2/12/2021 0:00,770744.5
2/15/2021 0:00,770744.5
2/16/2021 0:00,769207.92
2/17/2021 0:00,767151.31
2/18/2021 0:00,762735.4905
2/19/2021 0:00,772778.04
2/22/2021 0:00,765479.15
2/23/2021 0:00,765349.72
2/24/2021 0:00,773458.0505
2/25/2021 0:00,753698.03
2/26/2021 0:00,752018.58
3/1/2021 0:00,771005.97
3/2/2021 0:00,763984.5295
3/3/2021 0:00,752557.49
3/4/2021 0:00,741126.17
3/5/2021 0:00,754277.61
3/8/2021 0:00,750254.08
3/9/2021 0:00,762779.49
3/10/2021 0:00,767382.68
3/11/2021 0:00,777352.0905
3/12/2021 0:00,778775.25
3/15/2021 0:00,784082.86
3/16/2021 0:00,782543.6395
3/17/2021 0:00,783825.39
3/18/2021 0:00,769864.93
3/19/2021 0:00,770543.86
3/22/2021 0:00,775153.41
3/23/2021 0:00,767325.22
3/24/2021 0:00,760363.11
3/25/2021 0:00,765140.32
3/26/2021 0:00,774379
3/29/2021 0:00,771582.56
3/30/2021 0:00,770456.02
3/31/2021 0:00,775052.1395
4/1/2021 0:00,784463.24
4/2/2021 0:00,784463.24
4/5/2021 0:00,794232.35
4/6/2021 0:00,794948.24
4/7/2021 0:00,795040.8816
4/8/2021 0:00,799874.06
4/9/2021 0:00,804734.09
4/12/2021 0:00,804617.3
4/13/2021 0:00,807394.89
4/14/2021 0:00,805099.9
4/15/2021 0:00,814352.12
4/16/2021 0:00,816599.84
4/19/2021 0:00,811788.52
4/20/2021 0:00,804801.69
4/21/2021 0:00,812126.85
4/22/2021 0:00,806215.06
4/23/2021 0:00,815582.71
4/26/2021 0:00,818012.27
4/27/2021 0:00,817215.33
4/28/2021 0:00,818384.69
4/29/2021 0:00,821906.8
4/30/2021 0:00,815468.11
5/3/2021 0:00,817080.55
5/4/2021 0:00,810035.65
5/5/2021 0:00,808418.49
5/6/2021 0:00,812960.26
5/7/2021 0:00,820066.49
5/10/2021 0:00,809961.52
5/11/2021 0:00,804241.52
5/12/2021 0:00,786141.84
5/13/2021 0:00,795451.25
5/14/2021 0:00,808441.93
5/17/2021 0:00,805320.93
5/18/2021 0:00,799174.96
5/19/2021 0:00,797046.1295
5/20/2021 0:00,806014.33
5/21/2021 0:00,805491.01
5/24/2021 0:00,813065.16
5/25/2021 0:00,810492.76
5/26/2021 0:00,813404.1305
5/27/2021 0:00,814353.8
5/28/2021 0:00,815699.04
5/31/2021 0:00,815699.04
6/1/2021 0:00,815028.51
6/2/2021 0:00,816242.49
6/3/2021 0:00,812219.25
6/4/2021 0:00,819227
6/7/2021 0:00,820881.89
6/8/2021 0:00,821848.78
6/9/2021 0:00,820039.9795
6/10/2021 0:00,823512.7395
6/11/2021 0:00,826254.92
6/14/2021 0:00,827975.73
6/15/2021 0:00,825601.51
6/16/2021 0:00,821710.66
6/17/2021 0:00,821942.44
6/18/2021 0:00,811839.56
6/21/2021 0:00,821826.55
6/22/2021 0:00,826515.14
6/23/2021 0:00,825638.01
6/24/2021 0:00,830455.79
6/25/2021 0:00,834003.15
6/28/2021 0:00,836792.0705
6/29/2021 0:00,836835.11
6/30/2021 0:00,836798.43
7/1/2021 0:00,840747.04
7/2/2021 0:00,845357.09
7/5/2021 0:00,845357.09
7/6/2021 0:00,843328.43
7/7/2021 0:00,844920.39
7/8/2021 0:00,837594
7/9/2021 0:00,847078.84
7/12/2021 0:00,849458.7405
7/13/2021 0:00,845081.36
7/14/2021 0:00,844380.74
7/15/2021 0:00,841732.49
7/16/2021 0:00,835685.38
7/19/2021 0:00,823882.45
7/20/2021 0:00,837104.61
7/21/2021 0:00,844856.11
7/22/2021 0:00,845686.24
7/23/2021 0:00,854906.71
7/26/2021 0:00,856122.61
7/27/2021 0:00,851826.79
7/28/2021 0:00,853014.03
7/29/2021 0:00,856027.27
7/30/2021 0:00,852949.8395
8/2/2021 0:00,850538.18
8/3/2021 0:00,855739.73
8/4/2021 0:00,853219.45
8/5/2021 0:00,859193.8
8/6/2021 0:00,860211.45
8/9/2021 0:00,859213.2095
8/10/2021 0:00,859249.72
8/11/2021 0:00,861315.71
8/12/2021 0:00,864125.01
8/13/2021 0:00,864895.1405
8/16/2021 0:00,866041.26
8/17/2021 0:00,860309.56
8/18/2021 0:00,851714.26
8/19/2021 0:00,851821.53
8/20/2021 0:00,859838.46
8/23/2021 0:00,867622.29
8/24/2021 0:00,869978.85
8/25/2021 0:00,871914.88
8/26/2021 0:00,866315.08
8/27/2021 0:00,876302.08
8/30/2021 0:00,879530.5695
8/31/2021 0:00,878581.91
