Date,Value (P),
3/8/10 0:00,9746.1,
3/9/10 0:00,9757.15,
3/10/10 0:00,9806.45,
3/11/10 0:00,9844.7,
3/12/10 0:00,9843.85,
3/15/10 0:00,9849.8,
3/16/10 0:00,9929.7,
3/17/10 0:00,9985.8,
3/18/10 0:00,9981.55,
3/19/10 0:00,21611.7,
3/22/10 0:00,21733.8,
3/23/10 0:00,21885.5,
3/24/10 0:00,21778.2,
3/25/10 0:00,21646.85,
3/26/10 0:00,21656.1,
3/29/10 0:00,21781.9,
3/30/10 0:00,21787.45,
3/31/10 0:00,21707.9,
4/1/10 0:00,21868.85,
4/2/10 0:00,21868.85,
4/5/10 0:00,22044.6,
4/6/10 0:00,22081.6,
4/7/10 0:00,21966.9,
4/8/10 0:00,22037.2,
4/9/10 0:00,22181.5,
4/12/10 0:00,22224.05,
4/13/10 0:00,150901.2,
4/14/10 0:00,152545.25,
4/15/10 0:00,152708.4,
4/16/10 0:00,150336.45,
4/19/10 0:00,150838.45,
4/20/10 0:00,152206.4,
4/21/10 0:00,151930.3,
4/22/10 0:00,152319.35,
4/23/10 0:00,153285.7,
4/26/10 0:00,152758.6,
4/27/10 0:00,149181.85,
4/28/10 0:00,150223.5,
4/29/10 0:00,152156.2,
4/30/10 0:00,149646.2,
5/3/10 0:00,151528.7,
5/4/10 0:00,148039.8,
5/5/10 0:00,147123.65,
5/6/10 0:00,141827.55,
5/7/10 0:00,139882.3,
5/10/10 0:00,146220.05,
5/11/10 0:00,145780.8,
5/12/10 0:00,147801.35,
5/13/10 0:00,146044.35,
5/14/10 0:00,143421.4,
5/17/10 0:00,143433.95,
5/18/10 0:00,141564,
5/19/10 0:00,140735.7,
5/20/10 0:00,135452.15,
5/21/10 0:00,137297,
5/24/10 0:00,135627.85,
5/25/10 0:00,135715.7,
5/26/10 0:00,134837.2,
5/27/10 0:00,139455.6,
5/28/10 0:00,137673.5,
5/31/10 0:00,137673.5,
6/1/10 0:00,135339.2,
6/2/10 0:00,138878.3,
6/3/10 0:00,139355.2,
6/4/10 0:00,134699.15,
6/7/10 0:00,132841.75,
6/8/10 0:00,134109.3,
6/9/10 0:00,133431.6,
6/10/10 0:00,137485.25,
6/11/10 0:00,138037.45,
6/14/10 0:00,137899.4,
6/15/10 0:00,140961.6,
6/16/10 0:00,140986.7,
6/17/10 0:00,141200.05,
6/18/10 0:00,141350.65,
6/21/10 0:00,140873.75,
6/22/10 0:00,138627.3,
6/23/10 0:00,137522.9,
6/24/10 0:00,135339.2,
6/25/10 0:00,135878.85,
6/28/10 0:00,135389.4,
6/29/10 0:00,131247.9,
6/30/10 0:00,129842.3,
7/1/10 0:00,129528.55,
7/2/10 0:00,128763,
7/5/10 0:00,128763,
7/6/10 0:00,129578.75,
7/7/10 0:00,133695.15,
7/8/10 0:00,134950.15,
7/9/10 0:00,135929.05,
7/12/10 0:00,136067.1,
7/13/10 0:00,138150.4,
7/14/10 0:00,138100.2,
7/15/10 0:00,138137.85,
7/16/10 0:00,134347.75,
7/19/10 0:00,135176.05,
7/20/10 0:00,136594.2,
7/21/10 0:00,134899.95,
7/22/10 0:00,137849.2,
7/23/10 0:00,139028.9,
7/26/10 0:00,140534.9,
7/27/10 0:00,140472.15,
7/28/10 0:00,139556,
7/29/10 0:00,138878.3,
7/30/10 0:00,138903.4,
8/2/10 0:00,141978.15,
8/3/10 0:00,141287.9,
8/4/10 0:00,142304.45,
8/5/10 0:00,142141.3,
8/6/10 0:00,141538.9,
8/9/10 0:00,142304.45,
8/10/10 0:00,141589.1,
8/11/10 0:00,137673.5,
8/12/10 0:00,136795,
8/13/10 0:00,136405.95,
8/16/10 0:00,136368.3,
8/17/10 0:00,138024.9,
8/18/10 0:00,138288.45,
8/19/10 0:00,135916.5,
8/20/10 0:00,135414.5,
8/23/10 0:00,134912.5,
8/24/10 0:00,132967.25,
8/25/10 0:00,133400.225,
8/26/10 0:00,132528,
8/27/10 0:00,134561.1,
8/30/10 0:00,132666.05,
8/31/10 0:00,132716.25,
9/1/10 0:00,136581.65,
9/2/10 0:00,137874.3,
9/3/10 0:00,139656.4,
9/6/10 0:00,139656.4,
9/7/10 0:00,138162.95,
9/8/10 0:00,139016.35,
9/9/10 0:00,139681.5,
9/10/10 0:00,140472.15,
9/13/10 0:00,141990.7,
9/14/10 0:00,141902.85,
9/15/10 0:00,142429.95,
9/16/10 0:00,142404.85,
9/17/10 0:00,142417.4,
9/20/10 0:00,144651.3,
9/21/10 0:00,144287.35,
9/22/10 0:00,143659.85,
9/23/10 0:00,142480.15,
9/24/10 0:00,144500.7,
9/27/10 0:00,143860.65,
9/28/10 0:00,144463.05,
9/29/10 0:00,144111.65,
9/30/10 0:00,143684.95,
10/1/10 0:00,144325,
10/4/10 0:00,143245.7,
10/5/10 0:00,146069.45,
10/6/10 0:00,146094.55,
10/7/10 0:00,145956.5,
10/8/10 0:00,146734.6,
10/11/10 0:00,146897.75,
10/12/10 0:00,147349.55,
10/13/10 0:00,148441.4,
10/14/10 0:00,148064.9,
10/15/10 0:00,148240.6,
10/18/10 0:00,148918.3,
10/19/10 0:00,146973.05,
10/20/10 0:00,148366.1,
10/21/10 0:00,148742.6,
10/22/10 0:00,149068.9,
10/25/10 0:00,149407.75,
10/26/10 0:00,149508.15,
10/27/10 0:00,149094,
10/28/10 0:00,149169.3,
10/29/10 0:00,149144.2,
11/1/10 0:00,149244.6,
11/2/10 0:00,150436.85,
11/3/10 0:00,151076.9,
11/4/10 0:00,153900.65,
11/5/10 0:00,154553.25,
11/8/10 0:00,154314.8,
11/9/10 0:00,153097.45,
11/10/10 0:00,153486.5,
11/11/10 0:00,153172.75,
11/12/10 0:00,151353,
11/15/10 0:00,151152.2,
11/16/10 0:00,148730.05,
11/17/10 0:00,148880.65,
11/18/10 0:00,151076.9,
11/19/10 0:00,151415.75,
11/22/10 0:00,151315.35,
11/23/10 0:00,149131.65,
11/24/10 0:00,151365.55,
11/25/10 0:00,151365.55,
11/26/10 0:00,150173.3,
11/29/10 0:00,150060.35,
11/30/10 0:00,149106.55,
12/1/10 0:00,152357,
12/2/10 0:00,154302.25,
12/3/10 0:00,154716.4,
12/6/10 0:00,154528.15,
12/7/10 0:00,154641.1,
12/8/10 0:00,155205.85,
12/9/10 0:00,155908.65,
12/10/10 0:00,156787.15,
12/13/10 0:00,156837.35,
12/14/10 0:00,156962.85,
12/15/10 0:00,156310.25,
12/16/10 0:00,157113.45,
12/17/10 0:00,157377,
12/20/10 0:00,157690.75,
12/21/10 0:00,158669.65,
12/22/10 0:00,159209.3,
12/23/10 0:00,158242.95,
12/24/10 0:00,158242.95,
12/27/10 0:00,158330.8,
12/28/10 0:00,158506.5,
12/29/10 0:00,158657.1,
12/30/10 0:00,158431.2,
12/31/10 0:00,158443.75,
1/3/11 0:00,160037.6,
1/4/11 0:00,159937.2,
1/5/11 0:00,160752.95,
1/6/11 0:00,160451.75,
1/7/11 0:00,160163.1,
1/10/11 0:00,159999.95,
1/11/11 0:00,160539.6,
1/12/11 0:00,162007.95,
1/13/11 0:00,161782.05,
1/14/11 0:00,162786.05,
1/17/11 0:00,162786.05,
1/18/11 0:00,163200.2,
1/19/11 0:00,161556.15,
1/20/11 0:00,161355.35,
1/21/11 0:00,161706.75,
1/24/11 0:00,162660.55,
1/25/11 0:00,162635.45,
1/26/11 0:00,163363.35,
1/27/11 0:00,163802.6,
1/28/11 0:00,160815.7,
1/31/11 0:00,162083.25,
2/1/11 0:00,164706.2,
2/2/11 0:00,164379.9,
2/3/11 0:00,164718.75,
2/4/11 0:00,165195.65,
2/7/11 0:00,166237.3,
2/8/11 0:00,167027.95,
2/9/11 0:00,166613.8,
2/10/11 0:00,166689.1,
2/11/11 0:00,167668,
2/14/11 0:00,168057.05,
2/15/11 0:00,167542.5,
2/16/11 0:00,168596.7,
2/17/11 0:00,169123.8,
2/18/11 0:00,169475.2,
2/21/11 0:00,169475.2,
2/22/11 0:00,166099.25,
2/23/11 0:00,165057.6,
2/24/11 0:00,164957.2,
2/25/11 0:00,166638.9,
2/28/11 0:00,167693.1,
3/1/11 0:00,164957.2,
3/2/11 0:00,165220.75,
3/3/11 0:00,168069.6,
3/4/11 0:00,166839.7,
3/7/11 0:00,165609.8,
3/8/11 0:00,166965.2,
3/9/11 0:00,166751.85,
3/10/11 0:00,163702.2,
3/11/11 0:00,164932.1,
3/14/11 0:00,163827.7,
3/15/11 0:00,162007.95,
3/16/11 0:00,158970.85,
3/17/11 0:00,160978.85,
3/18/11 0:00,161618.9,
3/21/11 0:00,164116.35,
3/22/11 0:00,163539.05,
3/23/11 0:00,163990.85,
3/24/11 0:00,165597.25,
3/25/11 0:00,165321.15,
3/28/11 0:00,164957.2,
3/29/11 0:00,166049.05,
3/30/11 0:00,167153.45,
3/31/11 0:00,166927.55,
4/1/11 0:00,167680.55,
4/4/11 0:00,167919,
4/5/11 0:00,167730.75,
4/6/11 0:00,168282.95,
4/7/11 0:00,167893.9,
4/8/11 0:00,167291.5,
4/11/11 0:00,166802.05,
4/12/11 0:00,165521.95,
4/13/11 0:00,165509.4,
4/14/11 0:00,165647.45,
4/15/11 0:00,166362.8,
4/18/11 0:00,164405,
4/19/11 0:00,165308.6,
4/20/11 0:00,167693.1,
4/21/11 0:00,168433.55,
4/22/11 0:00,168433.55,
4/25/11 0:00,178401.1,
4/26/11 0:00,179881.1,
4/27/11 0:00,180862.55,
4/28/11 0:00,181449.1,
4/29/11 0:00,181918.8,
5/2/11 0:00,181631.25,
5/3/11 0:00,180756.25,
5/4/11 0:00,179394.5,
5/5/11 0:00,177866.9,
5/6/11 0:00,178591.5,
5/9/11 0:00,179408.4,
5/10/11 0:00,180972.05,
5/11/11 0:00,179027.4,
5/12/11 0:00,179764.75,
5/13/11 0:00,178359.4,
5/16/11 0:00,177224.1,
5/17/11 0:00,177275.2,
5/18/11 0:00,178878.65,
5/19/11 0:00,179192.35,
5/20/11 0:00,177897.5,
5/23/11 0:00,175667.35,
5/24/11 0:00,175662.05,
5/25/11 0:00,176187.6,
5/26/11 0:00,177127.5,
5/27/11 0:00,177909.1,
5/30/11 0:00,177909.1,
5/31/11 0:00,179673.35,
6/1/11 0:00,175683.2,
6/2/11 0:00,175637.8,
6/3/11 0:00,174050.35,
6/6/11 0:00,172124.35,
6/7/11 0:00,171960.4,
6/8/11 0:00,171290.7,
6/9/11 0:00,172563.6,
6/10/11 0:00,170052,
6/13/11 0:00,170238.7,
6/14/11 0:00,172344.95,
6/15/11 0:00,169316.75,
6/16/11 0:00,169512,
6/17/11 0:00,170018.4,
6/20/11 0:00,170941.55,
6/21/11 0:00,173215.35,
6/22/11 0:00,172030.6,
6/23/11 0:00,170778.05,
6/24/11 0:00,169089.75,
6/27/11 0:00,170311.4,
6/28/11 0:00,172571.7,
6/29/11 0:00,174162.35,
6/30/11 0:00,175760.35,
7/1/11 0:00,178294.65,
7/4/11 0:00,178294.65,
7/5/11 0:00,178112.35,
7/6/11 0:00,178263.2,
7/7/11 0:00,180207.5,
7/8/11 0:00,178796.3,
7/11/11 0:00,175612.7,
7/12/11 0:00,174794.1,
7/13/11 0:00,175467.75,
7/14/11 0:00,174234.65,
7/15/11 0:00,175197.3,
7/18/11 0:00,173678.95,
7/19/11 0:00,176538.9,
7/20/11 0:00,176488.4,
7/21/11 0:00,178963.05,
7/22/11 0:00,179120.65,
7/25/11 0:00,178218.75,
7/26/11 0:00,177594.75,
7/27/11 0:00,174049.8,
7/28/11 0:00,173559,
7/29/11 0:00,172208.15,
8/1/11 0:00,171754.3,
8/2/11 0:00,167494.25,
8/3/11 0:00,168245.7,
8/4/11 0:00,160222.9,
8/5/11 0:00,159917.7,
8/8/11 0:00,149360.65,
8/9/11 0:00,157048.2,
8/10/11 0:00,149309.3,
8/11/11 0:00,156182.85,
8/12/11 0:00,157312.75,
8/15/11 0:00,160608.45,
8/16/11 0:00,159210.95,
8/17/11 0:00,159431.9,
8/18/11 0:00,152621.5,
8/19/11 0:00,150184.5,
8/22/11 0:00,150183.85,
8/23/11 0:00,155117.3,
8/24/11 0:00,157026.5,
8/25/11 0:00,154730.95,
8/26/11 0:00,156984,
8/29/11 0:00,161436.15,
8/30/11 0:00,161798.8,
8/31/11 0:00,162803,
9/1/11 0:00,161129.6,
9/2/11 0:00,156980.1,
9/5/11 0:00,156980.1,
9/6/11 0:00,155832.55,
9/7/11 0:00,160179.05,
9/8/11 0:00,158496.55,
9/9/11 0:00,154171,
9/12/11 0:00,155187.8,
9/13/11 0:00,156251.15,
9/14/11 0:00,158359.3,
9/15/11 0:00,161161.45,
9/16/11 0:00,162081,
9/19/11 0:00,160349.4,
9/20/11 0:00,160126.65,
9/21/11 0:00,155069.3,
9/22/11 0:00,150186.7,
9/23/11 0:00,151044.55,
9/26/11 0:00,153829.25,
9/27/11 0:00,155679.05,
9/28/11 0:00,152540.05,
9/29/11 0:00,153661.3,
9/30/11 0:00,149913.55,
10/3/11 0:00,145368.45,
10/4/11 0:00,148274.15,
10/5/11 0:00,151274.35,
10/6/11 0:00,154151.7,
10/7/11 0:00,153037.45,
10/10/11 0:00,158284.65,
10/11/11 0:00,158429.7,
10/12/11 0:00,159863.65,
10/13/11 0:00,159542.55,
10/14/11 0:00,162279.55,
10/17/11 0:00,159187.5,
10/18/11 0:00,162354.3,
10/19/11 0:00,160305.75,
10/20/11 0:00,160927.8,
10/21/11 0:00,163849.2,
10/24/11 0:00,166179.15,
10/25/11 0:00,162957.05,
10/26/11 0:00,164630.85,
10/27/11 0:00,170424.05,
10/28/11 0:00,170677.6,
10/31/11 0:00,166220.55,
11/1/11 0:00,161751.75,
11/2/11 0:00,164367.8,
11/3/11 0:00,167270.35,
11/4/11 0:00,166284.85,
11/7/11 0:00,167295.1,
11/8/11 0:00,169435.6,
11/9/11 0:00,163047.55,
11/10/11 0:00,164607.35,
11/11/11 0:00,167686.4,
11/14/11 0:00,166100.2,
11/15/11 0:00,167010.65,
11/16/11 0:00,164217.35,
11/17/11 0:00,161595.85,
11/18/11 0:00,161413.2,
11/21/11 0:00,158320.95,
11/22/11 0:00,157702.1,
11/23/11 0:00,154157.5,
11/24/11 0:00,154157.5,
11/25/11 0:00,153710.2,
11/28/11 0:00,158241.65,
11/29/11 0:00,158736.2,
11/30/11 0:00,165114.9,
12/1/11 0:00,165306.6,
12/2/11 0:00,165258.25,
12/5/11 0:00,167033.1,
12/6/11 0:00,167077.9,
12/7/11 0:00,167578.3,
12/8/11 0:00,163893.55,
12/9/11 0:00,166609.8,
12/12/11 0:00,164126.9,
12/13/11 0:00,162612.2,
12/14/11 0:00,160679.05,
12/15/11 0:00,161350.8,
12/16/11 0:00,161707.45,
12/19/11 0:00,159866.85,
12/20/11 0:00,164564.1,
12/21/11 0:00,164835.3,
12/22/11 0:00,165431.35,
12/23/11 0:00,166796.45,
12/26/11 0:00,166796.45,
12/27/11 0:00,166841.2,
12/28/11 0:00,164780.5,
12/29/11 0:00,166333,
12/30/11 0:00,165600.65,
1/2/12 0:00,165600.65,
1/3/12 0:00,168465.6,
1/4/12 0:00,168621.45,
1/5/12 0:00,169010.1,
1/6/12 0:00,168664.15,
1/9/12 0:00,168835.25,
1/10/12 0:00,170550.65,
1/11/12 0:00,170706.55,
1/12/12 0:00,171178.45,
1/13/12 0:00,170530.45,
1/16/12 0:00,170530.45,
1/17/12 0:00,170983.3,
1/18/12 0:00,173003.75,
1/19/12 0:00,173944.2,
1/20/12 0:00,173954.3,
1/23/12 0:00,174162.8,
1/24/12 0:00,174011.95,
1/25/12 0:00,175563.8,
1/26/12 0:00,174638.8,
1/27/12 0:00,174528.75,
1/30/12 0:00,173953.1,
1/31/12 0:00,173968.35,
2/1/12 0:00,175499.7,
2/2/12 0:00,175923.7,
